Phone Model,Release Date,Year
Samsung Galaxy S4 CDMA,2013-05-01,2013
Samsung Galaxy S4 Active I9295,2013-06-01,2013
Samsung Galaxy S4 Mini I9190,2013-07-01,2013
Samsung Galaxy S2 TV,2013-07-01,2013
Samsung Galaxy S4 zoom,2013-07-01,2013
Samsung Galaxy S4 I9506,2013-08-01,2013
Samsung Galaxy S Duos 2 S7582,2013-12-01,2013
Samsung Galaxy S4 Active LTE-A,2013-12-01,2013
Samsung Galaxy S3 Mini VE I8200,2014-03-01,2014
Samsung Galaxy S3 Slim G3812B,2014-03-01,2014
Samsung Galaxy S5,2014-04-01,2014
Samsung Galaxy S5 (USA),2014-04-01,2014
Samsung Galaxy S5 (octa-core),2014-04-01,2014
Samsung Galaxy S3 Neo I9300I,2014-04-01,2014
Samsung Galaxy S5 Active,2014-05-01,2014
Samsung Galaxy S5 Duos,2014-06-01,2014
Samsung Galaxy S3 Neo I9301I,2014-06-01,2014
Samsung Galaxy S5 Sport,2014-06-01,2014
Samsung Galaxy S5 Mini,2014-07-01,2014
Samsung Galaxy S Duos 3,2014-08-01,2014
Samsung Galaxy S5 Mini Duos,2014-08-01,2014
Samsung Galaxy S5 LTE-A G901F,2014-08-01,2014
Samsung Galaxy S5 Plus,2014-11-01,2014
Samsung Galaxy S6,2015-04-01,2015
Samsung Galaxy S6 Edge,2015-04-01,2015
Samsung Galaxy S6 (USA),2015-04-01,2015
Samsung Galaxy S6 Edge (USA),2015-04-01,2015
Samsung Galaxy S6 Duos,2015-06-01,2015
Samsung Galaxy S6 active,2015-06-01,2015
Samsung Galaxy S4 Mini I9195I,2015-06-01,2015
Samsung Galaxy S5 Neo,2015-08-01,2015
Samsung Galaxy S6 Edge+ Duos,2015-08-01,2015
Samsung Galaxy S6 Edge+,2015-08-01,2015
Samsung Galaxy S6 Edge+ (USA),2015-08-01,2015
Samsung Galaxy S7 (USA),2016-03-01,2016
Samsung Galaxy S7 Edge (USA),2016-03-01,2016
Samsung Galaxy S7 Edge,2016-03-01,2016
Samsung Galaxy S7,2016-03-01,2016
Samsung Galaxy S8+,2017-04-01,2017
Samsung Galaxy S8,2017-04-01,2017
Samsung Galaxy S8 Active,2017-08-01,2017
Samsung Galaxy S9,2018-03-01,2018
Samsung Galaxy S9+,2018-03-01,2018
Samsung Galaxy S Light Luxury,2018-05-01,2018
Samsung Galaxy S10,2019-03-01,2019
Samsung Galaxy S10+,2019-03-01,2019
Samsung Galaxy S10e,2019-03-01,2019
Samsung Galaxy S10 5G,2019-04-01,2019
Samsung Galaxy S20,2020-03-06,2020
Samsung Galaxy S20+,2020-03-06,2020
Samsung Galaxy S20 Ultra 5G,2020-03-06,2020
Samsung Galaxy S20+ 5G,2020-03-06,2020
Samsung Galaxy S20 5G,2020-03-06,2020
Samsung Galaxy S20 Ultra/LTE,2020-03-15,2020
Samsung Galaxy S20 FE,2020-10-02,2020
Samsung Galaxy S20 FE 5G,2020-10-02,2020
Samsung Galaxy S21 5G,2021-01-29,2021
Samsung Galaxy S21+ 5G,2021-01-29,2021
Samsung Galaxy S21 Ultra 5G,2021-01-29,2021
Samsung Galaxy S21 FE 5G,2022-01-07,2022
Samsung Galaxy S22 5G,2022-02-25,2022
Samsung Galaxy S22+ 5G,2022-02-25,2022
Samsung Galaxy S22 Ultra 5G,2022-02-25,2022
Samsung Galaxy S20 FE 2022,2022-04-01,2022
Samsung Galaxy Note N7000,2011-10-01,2011
Samsung Galaxy Note I717,2012-01-01,2012
Samsung Galaxy Note T879,2012-08-01,2012
Samsung Galaxy Note 10.1 N8010,2012-08-01,2012
Samsung Galaxy Note 10.1 N8000,2012-08-01,2012
Samsung Galaxy Note 2 N7100,2012-09-01,2012
Samsung Galaxy Note 2 CDMA,2012-11-01,2012
Samsung Galaxy Note LTE 10.1 N8020,2012-12-01,2012
Samsung Galaxy Note 8.0 Wi-Fi,2013-04-01,2013
Samsung Galaxy Note 8.0,2013-04-01,2013
Samsung Galaxy Note 3,2013-09-01,2013
Samsung Galaxy Note 10.1 (2014 Edition),2013-10-01,2013
Samsung Galaxy Note Pro 12.2,2014-02-01,2014
Samsung Galaxy Note 3 Neo,2014-02-01,2014
Samsung Galaxy Note 3 Neo Duos,2014-02-01,2014
Samsung Galaxy Note Pro 12.2 3G,2014-03-01,2014
Samsung Galaxy Note Pro 12.2 LTE,2014-03-01,2014
Samsung Galaxy Note 4,2014-10-01,2014
Samsung Galaxy Note 4 (USA),2014-10-01,2014
Samsung Galaxy Note 4 Duos,2014-10-01,2014
Samsung Galaxy Note Edge,2014-11-01,2014
Samsung Galaxy Note5 Duos,2015-08-01,2015
Samsung Galaxy Note5,2015-08-01,2015
Samsung Galaxy Note5 (USA),2015-08-01,2015
Samsung Galaxy Note7 (USA),2016-08-01,2016
Samsung Galaxy Note7,2016-09-01,2016
Samsung Galaxy Note FE,2017-07-01,2017
Samsung Galaxy Note8,2017-09-01,2017
Samsung Galaxy Note9,2018-08-01,2018
Samsung Galaxy Note10,2019-08-01,2019
Samsung Galaxy Note10 5G,2019-08-01,2019
Samsung Galaxy Note10+,2019-08-01,2019
Samsung Galaxy Note10+ 5G,2019-08-01,2019
Samsung Galaxy Note10 Lite,2020-01-01,2020
Samsung Galaxy Note20,2020-08-01,2020
Samsung Galaxy Note20 5G,2020-08-21,2020
Samsung Galaxy Note20 Ultra,2020-08-21,2020
Samsung Galaxy Note20 Ultra 5G,2020-08-21,2020
Samsung Galaxy M10,2019-02-01,2019
Samsung Galaxy M20,2019-02-01,2019
Samsung Galaxy M30,2019-03-01,2019
Samsung Galaxy M40,2019-06-01,2019
Samsung Galaxy M10s,2019-09-01,2019
Samsung Galaxy M30s,2019-09-01,2019
Samsung Galaxy M31,2020-03-05,2020
Samsung Galaxy M21,2020-03-23,2020
Samsung Galaxy M11,2020-05-04,2020
Samsung Galaxy M01,2020-06-02,2020
Samsung Galaxy M01s,2020-07-16,2020
Samsung Galaxy M01 Core,2020-07-29,2020
Samsung Galaxy M31s,2020-08-06,2020
Samsung Galaxy M51,2020-09-11,2020
Samsung Galaxy M31 Prime,2020-10-17,2020
Samsung Galaxy M21s,2020-11-06,2020
Samsung Galaxy M02s,2021-01-19,2021
Samsung Galaxy M02,2021-02-09,2021
Samsung Galaxy M62,2021-03-03,2021
Samsung Galaxy M12,2021-04-30,2021
Samsung Galaxy M42 5G,2021-05-01,2021
Samsung Galaxy M32,2021-06-28,2021
Samsung Galaxy M21 2021,2021-07-26,2021
Samsung Galaxy M32 5G,2021-09-02,2021
Samsung Galaxy M52 5G,2021-10-03,2021
Samsung Galaxy M22,2021-10-13,2021
Samsung Galaxy M23,2022-04-08,2022
Samsung Galaxy M33,2022-04-08,2022
Samsung Galaxy M53,2022-04-22,2022
Samsung Galaxy M13,2022-07-01,2022
Samsung Galaxy M13 (India),2022-07-23,2022
Samsung Galaxy M13 5G,2022-07-23,2022
Samsung Galaxy Fold,2019-09-01,2019
Samsung Galaxy Fold 5G,2019-09-01,2019
Samsung Galaxy Z Fold2 5G,2020-09-18,2020
Samsung Galaxy Z Fold3,2021-08-27,2021
Samsung Galaxy Z Fold4,2022-08-25,2022
Samsung Galaxy A5 Duos,2014-11-01,2014
Samsung Galaxy A5 Duos,2014-11-01,2014
Samsung Galaxy A3,2014-12-01,2014
Samsung Galaxy A3 Duos,2014-12-01,2014
Samsung Galaxy A5,2014-12-01,2014
Samsung Galaxy A7,2015-02-01,2015
Samsung Galaxy A7 Duos,2015-02-01,2015
Samsung Galaxy A8,2015-08-01,2015
Samsung Galaxy A8 Duos,2015-08-01,2015
Samsung Galaxy A3 (2016),2015-12-01,2015
Samsung Galaxy A5 (2016),2015-12-01,2015
Samsung Galaxy A7 (2016),2015-12-01,2015
Samsung Galaxy A9 (2016),2016-01-01,2016
Samsung Galaxy A9 Pro (2016),2016-05-01,2016
Samsung Galaxy A8 (2016),2016-10-01,2016
Samsung Galaxy A3 (2017),2017-01-01,2017
Samsung Galaxy A5 (2017),2017-01-01,2017
Samsung Galaxy A7 (2017),2017-01-01,2017
Samsung Galaxy A6 (2018),2018-05-01,2018
Samsung Galaxy A6+ (2018),2018-05-01,2018
Samsung Galaxy A8 Star (A9 Star),2018-06-01,2018
Samsung Galaxy A7 (2018),2018-10-01,2018
Samsung Galaxy A9 (2018),2018-11-01,2018
Samsung Galaxy A6s,2018-11-01,2018
Samsung Galaxy A8s,2018-12-01,2018
Samsung Galaxy A10,2019-03-01,2019
Samsung Galaxy A20,2019-04-01,2019
Samsung Galaxy A20e,2019-05-01,2019
Samsung Galaxy A30,2019-03-01,2019
Samsung Galaxy A40,2019-04-01,2019
Samsung Galaxy A50,2019-03-01,2019
Samsung Galaxy A60,2019-06-01,2019
Samsung Galaxy A70,2019-04-01,2019
Samsung Galaxy A2 Core,2019-04-01,2019
Samsung Galaxy A80,2019-05-01,2019
Samsung Galaxy A10e,2019-08-01,2019
Samsung Galaxy A10s,2019-09-01,2019
Samsung Galaxy A50s,2019-09-01,2019
Samsung Galaxy A30s,2019-09-01,2019
Samsung Galaxy A90 5G,2019-09-01,2019
Samsung Galaxy A70s,2019-09-01,2019
Samsung Galaxy A20s,2019-10-01,2019
Samsung Galaxy A51,2019-12-16,2019
Samsung Galaxy A71,2020-01-17,2020
Samsung Galaxy A01,2020-01-01,2020
Samsung Galaxy A31,2020-04-27,2020
Samsung Galaxy A51 5G,2020-04-29,2020
Samsung Galaxy A41,2020-05-22,2020
Samsung Galaxy A Quantum,2020-05-22,2020
Samsung Galaxy A21s,2020-06-02,2020
Samsung Galaxy A71 5G,2020-06-15,2020
Samsung Galaxy A21,2020-06-26,2020
Samsung Galaxy A01 Core,2020-08-06,2020
Samsung Galaxy A71 5G UW,2020-08-14,2020
Samsung Galaxy A51 5G UW,2020-08-14,2020
Samsung Galaxy A42 5G,2020-11-11,2020
Samsung Galaxy A12,2020-12-21,2020
Samsung Galaxy A02s,2021-01-04,2021
Samsung Galaxy A32 5G,2021-01-22,2021
Samsung Galaxy A02,2021-01-27,2021
Samsung Galaxy A32,2021-02-25,2021
Samsung Galaxy A52 5G,2021-03-19,2021
Samsung Galaxy A52,2021-03-26,2021
Samsung Galaxy A72,2021-03-26,2021
Samsung Galaxy A22,2021-06-01,2021
Samsung Galaxy A22 5G,2021-07-01,2021
Samsung Galaxy A12 Nacho,2021-08-09,2021
Samsung Galaxy A03s,2021-08-18,2021
Samsung Galaxy A52s 5G,2021-09-01,2021
Samsung Galaxy A03 Core,2021-12-06,2021
Samsung Galaxy A03,2022-01-21,2022
Samsung Galaxy A13 5G,2021-12-03,2021
Samsung Galaxy A13,2022-03-23,2022
Samsung Galaxy A23,2022-03-25,2022
Samsung Galaxy A33 5G,2022-03-20,2022
Samsung Galaxy A53 5G,2022-03-24,2022
Samsung Galaxy A73 5G,2022-04-22,2022
Samsung Galaxy A13 (SM-A137),2022-06-01,2022
Samsung Galaxy A23 5G,2022-09-11,2022
Samsung Galaxy A04s,2022-09-22,2022
Samsung Galaxy A04e,2022-11-07,2022
Samsung Galaxy C5,2016-06-01,2016
Samsung Galaxy C7,2016-06-01,2016
Samsung Galaxy C9 Pro,2016-11-01,2016
Samsung Galaxy C7 Pro,2017-02-01,2017
Samsung Galaxy C5 Pro,2017-03-01,2017
Samsung Galaxy C7 (2017),2017-10-01,2017
Samsung Galaxy E5,2015-02-01,2015
Samsung Galaxy E7,2015-02-01,2015
Samsung Galaxy On5,2015-11-01,2015
Samsung Galaxy On7,2015-11-01,2015
Samsung Galaxy On5 Pro,2016-07-01,2016
Samsung Galaxy On7 Pro,2016-07-01,2016
Samsung Galaxy On8,2016-10-01,2016
Samsung Galaxy On6,2018-07-01,2018
Samsung Galaxy J,2013-12-01,2013
Samsung Galaxy J1,2015-02-01,2015
Samsung Galaxy J1 4G,2015-03-01,2015
Samsung Galaxy J5,2015-06-01,2015
Samsung Galaxy J7,2015-06-01,2015
Samsung Galaxy J2,2015-09-01,2015
Samsung Galaxy J3 (2016),2016-01-01,2016
Samsung Galaxy J1 (2016),2016-01-01,2016
Samsung Galaxy J1 Nxt,2016-02-01,2016
Samsung Galaxy J5 (2016),2016-04-01,2016
Samsung Galaxy J7 (2016),2016-04-01,2016
Samsung Galaxy J3 Pro,2016-06-01,2016
Samsung Galaxy J2 (2016),2016-07-01,2016
Samsung Galaxy J2 Pro (2016),2016-07-01,2016
Samsung Galaxy J Max,2016-08-01,2016
Samsung Galaxy J7 Prime,2016-09-01,2016
Samsung Galaxy J5 Prime,2016-10-01,2016
Samsung Galaxy J2 Prime,2016-11-01,2016
Samsung Galaxy J1 Mini Prime,2016-12-01,2016
Samsung Galaxy J3 Emerge,2017-01-01,2017
Samsung Galaxy J7 V,2017-03-01,2017
Samsung Galaxy J5 (2017),2017-06-01,2017
Samsung Galaxy J7 Max,2017-06-01,2017
Samsung Galaxy J7 (2017),2017-07-01,2017
Samsung Galaxy J7 Pro,2017-07-01,2017
Samsung Galaxy J3 (2017),2017-08-01,2017
Samsung Galaxy J2 (2017),2017-10-01,2017
Samsung Galaxy J2 Pro (2018),2018-01-01,2018
Samsung Galaxy J7 Prime 2,2018-04-01,2018
Samsung Galaxy J7 Duo,2018-04-01,2018
Samsung Galaxy J4,2018-05-01,2018
Samsung Galaxy J6,2018-05-01,2018
Samsung Galaxy J3 (2018),2018-06-01,2018
Samsung Galaxy J8,2018-07-01,2018
Samsung Galaxy J7 (2018),2018-07-01,2018
Samsung Galaxy J2 Core,2018-08-01,2018
Samsung Galaxy J4+,2018-10-01,2018
Samsung Galaxy J6+,2018-10-01,2018
Samsung Galaxy J4 Core,2018-11-01,2018
Samsung Galaxy J2 Core (2020),2020-04-27,2020
Samsung Galaxy Tab P1000,2010-10-01,2010
Samsung Galaxy Tab CDMA P100,2010-09-01,2010
Samsung Galaxy Tab T-Mobile T849,2010-11-01,2010
Samsung Galaxy Tab Wi-Fi P1010,2011-03-01,2011
Samsung  Galaxy Tab 10.1v P7100,2011-04-01,2011
Samsung Galaxy Tab 8.9 P7310,2011-05-01,2011
Samsung Galaxy Tab 10.1 3G P7500,2011-08-01,2011
Samsung Galaxy Tab 4G LTE,2011-07-01,2011
Samsung Galaxy Tab 10.1 P7510,2011-07-01,2011
Samsung Galaxy Tab 10.1 LTE I905,2011-07-01,2011
Samsung Galaxy Tab 8.9 P7300,2011-10-01,2011
Samsung Galaxy Tab 8.9 LTE I957,2011-11-01,2011
Samsung Galaxy Tab 7.0 Plus P6200,2011-10-01,2011
Samsung Galaxy Tab 7.7 P6800,2011-12-01,2011
Samsung Galaxy Tab 7.7 P6810,2011-12-01,2011
Samsung Galaxy Tab 7.0 Plus P6210,2011-12-01,2011
Samsung Galaxy Tab 8.9 4G P7320T,2012-02-01,2012
Samsung Galaxy Tab 2 7.0 P3100,2012-04-01,2012
Samsung Galaxy Tab 2 7.0 P3110,2012-05-01,2012
Samsung Galaxy Tab 2 10.1 P5100,2012-05-01,2012
Samsung Galaxy Tab 2 10.1 CDMA,2012-05-01,2012
Samsung Galaxy Tab 2 10.1 P5110,2012-05-01,2012
Samsung Galaxy Tab 7.7 LTE I815,2012-07-01,2012
Samsung Galaxy Tab 2 7.0 I705,2012-08-01,2012
Samsung Galaxy Tab 3 7.0,2013-07-01,2013
Samsung Galaxy Tab 3 7.0 WiFi,2013-07-01,2013
Samsung Galaxy Tab 3 10.1 P5210,2013-07-01,2013
Samsung Galaxy Tab 3 10.1 P5200,2013-07-01,2013
Samsung Galaxy Tab 3 10.1 P5220,2013-07-01,2013
Samsung Galaxy Tab 3 8.0,2013-07-01,2013
Samsung Galaxy Tab Pro 8.4,2014-02-01,2014
Samsung Galaxy Tab 3 Lite 7.0,2014-02-01,2014
Samsung Galaxy Tab Pro 8.4 3G/LTE,2014-03-01,2014
Samsung Galaxy Tab Pro 10.1,2014-03-01,2014
Samsung Galaxy Tab Pro 10.1 LTE,2014-03-01,2014
Samsung Galaxy Tab Pro 12.2,2014-03-01,2014
Samsung Galaxy Tab Pro 12.2 3G,2014-04-01,2014
Samsung Galaxy Tab Pro 12.2 LTE,2014-05-01,2014
Samsung Galaxy Tab 3 Lite 7.0 3G,2014-02-01,2014
Samsung Galaxy Tab 4 7.0 LTE,2014-05-01,2014
Samsung Galaxy Tab 4 7.0 3G,2014-05-01,2014
Samsung Galaxy Tab 4 7.0,2014-05-01,2014
Samsung Galaxy Tab 4 10.1 LTE,2014-06-01,2014
Samsung Galaxy Tab 4 10.1 3G,2014-06-01,2014
Samsung Galaxy Tab 4 10.1,2014-06-01,2014
Samsung Galaxy Tab 4 8.0 LTE,2014-06-01,2014
Samsung Galaxy Tab 4 8.0 3G,2014-06-01,2014
Samsung Galaxy Tab 4 8.0,2014-06-01,2014
Samsung Galaxy Tab S 10.5,2014-07-01,2014
Samsung Galaxy Tab S 10.5 LTE,2014-07-01,2014
Samsung Galaxy Tab S 8.4,2014-07-01,2014
Samsung Galaxy Tab S 8.4 LTE,2014-07-01,2014
Samsung Galaxy Tab 3 Lite 7.0 VE,2015-03-01,2015
Samsung Galaxy Tab 3 V,2015-04-01,2015
Samsung Galaxy Tab A 8.0,2015-05-01,2015
Samsung Galaxy Tab A 9.7,2015-05-01,2015
Samsung Galaxy Tab A & S Pen,2015-07-01,2015
Samsung Galaxy Tab 4 10.1 (2015),2015-07-01,2015
Samsung Galaxy Tab E 9.6,2015-07-01,2015
Samsung Galaxy Tab S2 8.0,2015-09-01,2015
Samsung Galaxy Tab S2 9.7,2015-09-01,2015
Samsung Galaxy Tab E 8.0,2016-01-01,2016
Samsung Galaxy Tab A 7.0 (2016),2016-03-01,2016
Samsung Galaxy Tab A 10.1 (2016),2016-05-01,2016
Samsung Galaxy Tab J,2016-08-01,2016
Samsung Galaxy Tab S3 9.7,2017-04-01,2017
Samsung Galaxy Tab A 8.0 (2017),2017-09-01,2017
Samsung Galaxy Tab Active 2,2017-11-01,2017
Samsung Galaxy Tab A 10.5,2018-08-01,2018
Samsung Galaxy Tab S4 10.5,2018-08-01,2018
Samsung Galaxy Tab A 8.0 (2018),2018-09-01,2018
Samsung Galaxy Tab Advanced2,2018-12-01,2018
Samsung Galaxy Tab A 8.0 & S Pen (2019),2019-04-01,2019
Samsung Galaxy Tab A 10.1 (2019),2019-04-01,2019
Samsung Galaxy Tab S5e,2019-04-01,2019
Samsung Galaxy Tab A 8.0 (2019),2019-07-01,2019
Samsung Galaxy Tab S6,2019-08-01,2019
Samsung Galaxy Tab Active Pro,2019-10-01,2019
Samsung Galaxy Tab S6 5G,2020-01-30,2020
Samsung Galaxy Tab A 8.4 (2020),2020-03-25,2020
Samsung Galaxy Tab S6 Lite,2020-05-16,2020
Samsung Galaxy Tab S7,2020-08-21,2020
Samsung Galaxy Tab S7+,2020-08-21,2020
Samsung Galaxy Tab A7 10.4 (2020),2020-09-11,2020
Samsung Galaxy Tab Active3,2020-09-28,2020
Samsung Galaxy Tab S7 FE,2021-06-18,2021
Samsung Galaxy Tab A7 Lite,2021-06-18,2021
Samsung Galaxy Tab A8 10.5 (2021),2022-01-17,2022
Samsung Galaxy Tab S8,2022-03-22,2022
Samsung Galaxy Tab S8+,2022-04-14,2022
Samsung Galaxy Tab S8 Ultra,2022-04-30,2022
Samsung Galaxy Tab S6 Lite (2022),2022-05-23,2022
Samsung Galaxy Tab Active4 Pro,2022-09-13,2022
Samsung Galaxy Mega 5.8 I9150,2013-05-01,2013
Samsung Galaxy Mega 6.3 I9200,2013-06-01,2013
Samsung Galaxy Mega 2,2014-09-01,2014
Samsung Galaxy Ace S5830,2011-02-01,2011
Samsung Galaxy Ace S5830I,2011-02-01,2011
Samsung Galaxy Ace Plus S7500,2012-02-01,2012
Samsung Galaxy Ace Duos I589,2012-02-01,2012
Samsung Galaxy Ace 2 I8160,2012-05-01,2012
Samsung Galaxy Ace Duos S6802,2012-06-01,2012
Samsung Galaxy Ace Advance S6800,2012-06-01,2012
Samsung Galaxy Ace 2 X S7560M,2012-11-01,2012
Samsung Galaxy Ace 3,2013-07-01,2013
Samsung Galaxy Ace Style,2014-05-01,2014
Samsung Galaxy Ace 4 LTE G313,2014-08-01,2014
Samsung Galaxy Ace NXT,2014-07-01,2014
Samsung Galaxy Ace Style LTE G357,2014-09-01,2014
Samsung Galaxy Grand I9082,2013-01-01,2013
Samsung Galaxy Grand I9080,2013-04-01,2013
Samsung Galaxy Grand 2,2014-01-01,2014
Samsung Galaxy Grand Neo,2014-02-01,2014
Samsung Galaxy Grand Prime,2014-10-01,2014
Samsung Galaxy Grand Prime Duos TV,2014-10-01,2014
Samsung Galaxy Grand Max,2015-01-01,2015
Samsung Galaxy Grand Prime Plus,2016-11-01,2016
Samsung Galaxy Core I8260,2013-06-01,2013
Samsung Galaxy Core Plus,2013-10-01,2013
Samsung Galaxy Core Advance,2014-05-01,2014
Samsung Galaxy Core LTE,2014-05-01,2014
Samsung Galaxy Core Lite LTE,2014-06-01,2014
Samsung Galaxy Core 2,2014-07-01,2014
Samsung Galaxy Core LTE G386W,2014-11-01,2014
Samsung Galaxy Core Prime,2014-11-01,2014
Samsung Galaxy Xcover S5690,2011-10-01,2011
Samsung Galaxy Xcover 2 S7710,2013-03-01,2013
Samsung Galaxy Xcover 3,2015-04-01,2015
Samsung Galaxy Xcover 3 G389F,2016-04-01,2016
Samsung Galaxy Xcover 4,2017-04-01,2017
Samsung Galaxy Xcover 4s,2019-07-01,2019
Samsung Galaxy Xcover Pro,2020-04-06,2020
Samsung Galaxy Xcover FieldPro,2020-04-06,2020
Samsung Galaxy Xcover 5,2021-03-12,2021
Samsung Galaxy Xcover6 Pro,2022-07-13,2022
Samsung Galaxy Pocket S5300,2012-04-01,2012
Samsung Galaxy Pocket plus S5301,2012-04-01,2012
Samsung Galaxy Pocket Duos S5302,2012-09-01,2012
Samsung Galaxy Pocket Neo S5310,2013-06-01,2013
Samsung Galaxy Pocket 2,2014-09-01,2014
Samsung Galaxy View,2015-11-01,2015
Samsung Galaxy View2,2019-04-01,2019
Samsung Galaxy Z Flip,2020-02-01,2020
Samsung Galaxy Z Flip 5G,2020-08-07,2020
Samsung Galaxy Z Flip3 5G,2021-08-27,2021
Samsung Galaxy Z Flip4,2022-08-25,2022
Samsung Galaxy F41,2020-10-16,2020
Samsung Galaxy F62,2021-02-22,2021
Samsung Galaxy F02s,2021-04-09,2021
Samsung Galaxy F12,2021-04-12,2021
Samsung Galaxy F52 5G,2021-06-01,2021
Samsung Galaxy F22,2021-07-13,2021
Samsung Galaxy F42 5G,2021-10-03,2021
Samsung Galaxy F23,2022-03-16,2022
Samsung Galaxy F13,2022-03-16,2022
,,
,,
,,
,,                                      
